,Date,AAL,AAPL,AMD,AMZN,GE,KO,MARA,MELI,RCL,TSLA,^GSPC
20,2016-05-23,30.493270874023438,22.55911636352539,4.039999961853027,696.75,25.818668365478516,37.304168701171875,35.36000061035156,131.32777404785156,71.24854278564453,43.24399948120117,2048.0400390625
21,2016-05-24,30.89689826965332,22.90301513671875,4.199999809265137,704.2000122070312,26.133852005004883,37.64352798461914,36.47999954223633,133.8942413330078,72.65966033935547,43.582000732421875,2076.06005859375
22,2016-05-25,30.916122436523438,23.305397033691406,4.179999828338623,708.3499755859375,26.343975067138672,37.65201187133789,37.7599983215332,133.31729125976562,70.5566177368164,43.91600036621094,2090.5400390625
23,2016-05-26,30.28184700012207,23.49021339416504,4.349999904632568,714.9099731445312,26.28268814086914,37.915016174316406,41.7599983215332,134.3020782470703,69.03341674804688,45.02399826049805,2090.10009765625
24,2016-05-27,30.4163875579834,23.476171493530273,4.599999904632568,712.239990234375,26.370235443115234,37.99137496948242,42.880001068115234,134.37173461914062,71.14668273925781,44.608001708984375,2099.06005859375
25,2016-05-31,30.666255950927734,23.361541748046875,4.570000171661377,722.7899780273438,26.46654510498047,37.83865737915039,42.880001068115234,135.78428649902344,70.7990493774414,44.645999908447266,2096.949951171875
26,2016-06-01,30.704692840576172,23.03402328491211,4.429999828338623,719.4400024414062,26.361486434936523,37.92350769042969,45.599998474121094,135.62510681152344,70.40567016601562,43.9119987487793,2099.330078125
27,2016-06-02,30.43560791015625,22.860904693603516,4.239999771118164,728.239990234375,26.3089542388916,37.940467834472656,45.119998931884766,136.2816619873047,71.01860046386719,43.79199981689453,2105.260009765625
28,2016-06-03,29.609127044677734,22.907691955566406,4.159999847412109,725.5399780273438,26.212650299072266,38.21195983886719,44.31999969482422,135.0382080078125,69.86590576171875,43.79800033569336,2099.1298828125
29,2016-06-06,30.041589736938477,23.073789596557617,4.46999979019165,726.72998046875,26.370235443115234,38.4919319152832,44.63999938964844,137.54501342773438,69.70125579833984,44.13600158691406,2109.409912109375
